bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1092851,772392,2018-08-21,Senate,"Assembly 3rd Reading AB2790 Irwin By Roth",39,0,1,0,40
1092855,733819,2018-04-04,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",6,0,0,0,6
1092855,746183,2018-04-30,Senate,"Senate 3rd Reading SB1406 Hill et al",36,0,3,0,39
1092855,768763,2018-06-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,1,0,13
1092855,771805,2018-08-16,Assembly,"Do pass",17,0,0,0,17
1092855,773071,2018-08-28,Assembly,"SB 1406 Hill Senate Third Reading By MEDINA",78,0,2,0,80
1092856,738275,2018-04-11,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1092856,744401,2018-04-25,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1092856,748765,2018-05-03,Assembly,"AB 3188 THURMOND Consent Calendar Second Day Regular Session",71,0,7,0,78
1092856,760751,2018-06-06,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",6,0,0,0,6
1092856,771422,2018-08-13,Senate,"Assembly 3rd Reading AB3188 Thurmond By Pan",37,0,3,0,40
1092856,773311,2018-08-29,Senate,"Assembly 3rd Reading AB3188 Thurmond By Pan",39,0,1,0,40
1092856,773906,2018-08-30,Assembly,"AB 3188 THURMOND Concurrence in Senate Amendments",79,0,1,0,80
1092857,736049,2018-04-10,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Transportation and Housing]",7,0,0,0,7
1092857,743762,2018-04-24,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,2,0,13
1092857,750252,2018-05-07,Senate,"Placed on suspense file",6,0,1,0,7
1092857,756722,2018-05-25,Senate,"Do pass as amended",7,0,0,0,7
1092857,757867,2018-05-30,Senate,"Senate 3rd Reading SB1357 Gaines et al",36,0,3,0,39
1092858,740764,2018-04-17,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",11,4,0,0,15
1092858,742910,2018-04-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,2,1,0,10
1092858,756395,2018-05-25,Assembly,"Do pass",11,4,2,0,17
1092858,758609,2018-05-31,Assembly,"AB 2874 THURMOND Assembly Third Reading",23,33,22,0,78
1092859,736159,2018-04-10,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",14,0,1,0,15
1092859,751360,2018-05-09,Assembly,"Do pass. To Consent Calendar",16,0,1,0,17
1092859,754341,2018-05-17,Assembly,"AB 2941 BERMAN Consent Calendar Second Day Regular Session",73,0,5,0,78
1092859,762986,2018-06-13,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,2,0,9
1092859,769541,2018-07-02,Senate,"Do pass",7,0,0,0,7
1092859,770546,2018-08-06,Senate,"Assembly 3rd Reading AB2941 Berman By Dodd",37,0,2,0,39
1092859,771194,2018-08-09,Assembly,"AB 2941 BERMAN Concurrence in Senate Amendments",77,0,3,0,80
1092860,748124,2018-05-02,Assembly,"Do pass. To Consent Calendar",20,0,1,0,21
1092860,752099,2018-05-10,Assembly,"AB 2857 GRAY Consent Calendar Second Day Regular Session",73,0,5,0,78
1092860,768348,2018-06-26,Senate,"Do pass and be ordered to the Consent Calendar",13,0,0,0,13
1092861,734237,2018-04-04,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,1,0,0,6
1092861,738846,2018-04-16,Senate,"Placed on suspense file",7,0,0,0,7
1092861,756472,2018-05-25,Senate,"Do pass",5,2,0,0,7
1092861,757075,2018-05-29,Senate,"Senate 3rd Reading SB1348 Pan",27,11,1,0,39
1092861,765086,2018-06-19,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,4,0,0,13
1092861,771568,2018-08-16,Assembly,"Do pass as amended",12,0,5,0,17
1092861,773811,2018-08-30,Assembly,"SB 1348 Pan Senate Third Reading By MEDINA",55,24,1,0,80
1092861,774041,2018-08-31,Senate,"Unfinished Business SB1348 Pan Concurrence",27,11,2,0,40
1092862,737426,2018-04-10,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,0,7,0,16
1092865,743254,2018-04-24,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",15,0,0,0,15
1092865,755665,2018-05-23,Assembly,"Do pass. To Consent Calendar",16,0,1,0,17
